Вектор Мощи|Скорость перехода через портал|Приток Силы Потока|Ритм магического ядра|Поток Энергий|Сила Левого Потока|Сила Правого Потока|Пламя Стихий|Температура вдоха Истока|Температура выдоха Истока|Приток давления Выдоха Истока|Давление вдоха Истока|Давление выдоха Истока|Древний Ветер|Печать Чародея|Эмульсия Истока|Дыхание Истока|Гармония Бессмертия|Тип Вектора Мощи|Номер пометки
8.206|12.34656|50994.675|323.3269563209299|9319.842|437.956|437.956|927.391|736|-|3.567|Не определено|18.283|-|60.346|1.195|0.959|0.993|Сильный|2275
9.3|13.88988|72777.044|372.8472530009351|9781.976|645.017|645.017|1089.338|736|-|4.487|Не определено|22.382|-|89.955|1.781|0.959|0.993|Сильный|2276
1.138|1.54332|2050.31|137.23167861264002|6682.889|5.409|5.409|526.27|736|-|1.158|1.394603|6.227|-|29.686|0.176|0.959|0.994|Слабый|2277
2.088|3.08664|3006.113|141.91055727138647|6842.854|24.243|24.243|510.637|736|560.669|1.201|1.394603|6.434|1.019|14.806|0.147|0.959|0.994|Слабый|2278
3.144|4.6299600000000005|8380.057|145.2213770492496|7140.027|60.37|60.37|586.372|736|582.773|1.388|1.394603|7.44|1.02|12.291|0.243|0.959|0.994|Ниже среднего|2279
4.161|6.17328|14724.512|162.05088889453015|7809.96|113.79|113.79|640.504|736|-|1.655|1.394603|8.845|-|17.138|0.339|0.959|0.994|Ниже среднего|2280
5.14|7.7166|21636.917|201.51662300647635|8503.325|175.297|175.297|708.127|736|-|2.076|Не определено|10.995|-|25.094|0.497|0.959|0.994|Выше среднего|2281
6.175|9.25992|29796.026|241.61716827395787|8838.131|246.339|246.339|774.659|736|-|2.498|1.394603|13.114|-|34.155|0.676|0.959|0.994|Выше среднего|2282
7.148|10.80324|38979.969|280.44788179085845|9137.516|332.059|332.059|829.057|736|-|2.958|1.394603|15.385|-|44.022|0.872|0.959|0.994|Сильный|2283
8.206|12.34656|50994.609|323.3266421616645|9320.248|437.964|437.964|926.37|736|-|3.566|1.394603|18.263|-|60.251|1.193|0.959|0.994|Сильный|2284
9.3|13.88988|72777.405|372.8477765997107|9782.718|645.133|645.133|1088.474|736|-|4.486|Не определено|22.355|-|89.852|1.779|0.959|0.994|Сильный|2285
1.138|1.54332|1704.963|137.40760780124108|6686.044|5.495|5.495|513.95|736|-|1.146|Не определено|6.151|-|28.288|0.162|0.959|0.995|Слабый|2286
2.088|3.08664|2936.378|142.15005135134513|6846.783|24.648|24.648|506.855|736|-|1.199|Не определено|6.414|-|13.478|0.142|0.959|0.995|Слабый|2287
3.144|4.6299600000000005|8380.231|145.22148176900473|7142.614|60.366|60.366|585.578|736|-|1.388|Не определено|7.433|-|12.258|0.243|0.959|0.995|Ниже среднего|2288
4.161|6.17328|14724.586|162.05088889453015|7811.984|113.803|113.803|639.645|736|608.635|1.655|1.394603|8.836|1.022|17.097|0.338|0.959|0.995|Ниже среднего|2289
5.14|7.7166|21636.95|201.5169371657417|8504.234|175.306|175.306|707.178|736|-|2.076|Не определено|10.984|-|25.039|0.496|0.959|0.995|Выше среднего|2290
6.175|9.25992|29796.261|241.6161210764067|8839.156|246.33|246.33|773.59|736|-|2.498|Не определено|13.1|-|34.085|0.675|0.959|0.995|Выше среднего|2291
7.148|10.80324|38979.604|280.4480912303687|9138.02|332.096|332.096|828.055|736|-|2.957|Не определено|15.369|-|43.942|0.87|0.959|0.995|Сильный|2292
8.206|12.34656|50994.56|323.3264327221543|9320.652|437.969|437.969|925.352|736|735.633|3.566|Не определено|18.242|1.041|60.156|1.191|0.959|0.995|Сильный|2293
9.3|13.88988|72778.835|372.84714828118|9783.468|645.173|645.173|1087.618|736|-|4.485|Не определено|22.328|-|89.75|1.777|0.959|0.995|Сильный|2294
1.138|1.54332|634.449|138.65722863908397|6694.596|6.123|6.123|472.094|736|-|1.107|Не определено|5.921|-|19.935|0.108|0.959|0.996|Слабый|2295
2.088|-|2951.386|142.09098940945762|6848.986|24.556|24.556|506.833|736|-|1.2|Не определено|6.411|-|13.829|0.142|0.959|0.996|Слабый|2296
3.144|4.6299600000000005|8380.329|145.22158648875984|7145.196|60.375|60.375|584.785|736|-|1.387|Не определено|7.426|-|12.225|0.242|0.959|0.996|Ниже среднего|2297
4.161|6.17328|14724.699|162.05099361428526|7814.013|113.807|113.807|638.789|736|-|1.655|Не определено|8.827|-|17.056|0.338|0.959|0.996|Ниже среднего|2298
5.14|7.7166|21636.251|201.51746076451727|8505.123|175.313|175.313|706.226|736|-|2.075|Не определено|10.972|-|24.984|0.495|0.959|0.996|Выше среднего|2299
6.175|9.25992|29796.528|241.61507387885547|8840.183|246.274|246.274|772.523|736|-|2.498|Не определено|13.087|-|34.014|0.673|0.959|0.996|Выше среднего|2300
7.148|10.80324|38979.296|280.44798651061353|9138.523|332.173|332.173|827.055|736|-|2.957|Не определено|15.352|-|43.863|0.868|0.959|0.996|Сильный|2301
8.206|12.34656|50994.466|323.32632800239924|9321.056|438.103|438.103|924.338|736|-|3.565|1.394603|18.222|-|60.062|1.189|0.959|0.996|Сильный|2302
9.3|13.88988|72778.832|372.8483001984863|9784.201|645.171|645.171|1086.758|736|-|4.483|Не определено|22.302|-|89.647|1.775|0.959|0.996|Сильный|2303
1.138|1.54332|301.639|140.35264147447126|6706.992|7.005|7.005|451.066|736|-|1.095|Не определено|5.833|-|9.938|0.077|0.959|0.997|Слабый|2304
2.088|3.08664|2890.643|142.38985959056916|6853.318|25.06|25.06|503.073|736|-|1.198|Не определено|6.394|-|12.424|0.137|0.959|0.997|Слабый|2305
3.144|4.6299600000000005|8380.354|145.22158648875984|7147.775|60.372|60.372|583.993|736|-|1.387|Не определено|7.419|-|12.192|0.241|0.959|0.997|Ниже среднего|2306
4.161|6.17328|14724.806|162.05109833404038|7816.043|113.806|113.806|637.935|736|-|1.655|Не определено|8.818|-|17.014|0.337|0.959|0.997|Ниже среднего|2307
5.14|7.7166|21637.323|201.51725132500704|8506.061|175.299|175.299|705.289|736|-|2.075|Не определено|10.961|-|24.93|0.493|0.959|0.997|Выше среднего|2308
6.175|9.25992|29796.81|241.6144455603248|8841.212|246.333|246.333|771.46|736|-|2.497|Не определено|13.074|-|33.944|0.672|0.959|0.997|Выше среднего|2309
7.148|10.80324|38978.995|280.44798651061353|9139.027|332.081|332.081|826.059|736|-|2.956|Не определено|15.336|-|43.785|0.867|0.959|0.997|Сильный|2310
8.206|12.34656|50994.407|323.3261185628889|9321.459|438.106|438.106|923.326|736|-|3.564|Не определено|18.202|-|59.967|1.187|0.959|0.997|Сильный|2311
9.3|13.88988|72780.006|372.84809075897607|9784.943|644.823|644.823|1085.906|736|-|4.482|Не определено|22.275|-|89.544|1.773|0.959|0.997|Сильный|2312
1.138|1.54332|452.476|141.868145770563|6719.134|7.809|7.809|449.355|736|-|1.102|Не определено|5.862|-|2.038|0.069|0.959|0.998|Слабый|2313
2.088|3.08664|2866.99|142.76758374728576|6858.143|25.715|25.715|500.111|736|-|1.198|Не определено|6.386|-|10.104|0.132|0.959|0.998|Слабый|2314
3.144|4.6299600000000005|8380.474|145.22169120851498|7150.36|60.364|60.364|583.203|736|-|1.387|Не определено|7.412|-|12.159|0.241|0.959|0.998|Ниже среднего|2315
4.161|6.17328|14724.848|162.05109833404038|7818.07|113.801|113.801|637.082|736|-|1.655|Не определено|8.809|-|16.973|0.336|0.959|0.998|Ниже среднего|2316
5.14|7.7166|21637.514|201.51746076451727|8506.975|175.332|175.332|704.348|736|-|2.075|1.394603|10.95|-|24.876|0.492|0.959|0.998|Выше среднего|2317
6.175|9.25992|29797.059|241.61350308252867|8842.237|246.354|246.354|770.4|736|-|2.497|Не определено|13.06|-|33.874|0.671|0.959|0.998|Выше среднего|2318
7.148|10.80324|38978.685|280.4480912303687|9139.53|332.175|332.175|825.065|736|-|2.956|Не определено|15.319|-|43.706|0.865|0.959|0.998|Сильный|2319
8.206|-|50994.344|323.32580440362364|9321.861|438.004|438.004|922.318|736|-|3.563|Не определено|18.182|-|59.873|1.185|0.959|0.998|Сильный|2320
9.3|13.88988|72780.212|372.84861435775167|9785.67|644.935|644.935|1085.051|736|-|4.481|Не определено|22.249|-|89.44|1.77|0.959|0.998|Сильный|2321
1.138|1.54332|738.007|143.25861467904184|6730.662|8.565|8.565|456.399|736|548.084|1.115|Не определено|5.925|1.019|0.0|0.076|0.959|0.999|Слабый|2322
2.088|3.08664|2866.26|142.6107135541165|6859.765|25.446|25.446|500.088|736|-|1.197|Не определено|6.379|-|10.901|0.133|0.959|0.999|Слабый|2323
3.144|4.6299600000000005|8380.548|145.22169120851498|7152.943|60.371|60.371|582.415|736|-|1.387|1.394603|7.404|-|12.126|0.24|0.959|0.999|Ниже среднего|2324
4.161|6.17328|14724.981|162.05120305379552|7820.106|113.805|113.805|636.232|736|-|1.654|Не определено|8.801|-|16.932|0.335|0.959|0.999|Ниже среднего|2325
5.14|7.7166|21637.466|201.51777492378267|8507.882|175.302|175.302|703.407|736|-|2.075|Не определено|10.939|-|24.821|0.491|0.959|0.999|Выше среднего|2326
6.175|-|29797.281|241.6127700442429|8843.262|246.358|246.358|769.343|736|668.889|2.497|Не определено|13.047|1.03|33.805|0.669|0.959|0.999|Выше среднего|2327
7.148|10.80324|38978.425|280.44798651061353|9140.033|332.139|332.139|824.074|736|-|2.955|1.394603|15.303|-|43.628|0.864|0.959|0.999|Сильный|2328
8.206|12.34656|50994.223|323.3259091233787|9322.263|438.011|438.011|921.313|736|-|3.562|Не определено|18.161|-|59.779|1.183|0.959|0.999|Сильный|2329
9.3|13.88988|72781.491|372.8481954787312|9786.405|645.137|645.137|1084.204|736|-|4.48|Не определено|22.223|-|89.337|1.768|0.959|0.999|Сильный|2330
1.138|1.54332|1117.493|144.80082251268908|6743.221|9.416|9.416|466.821|736|-|1.132|1.394603|6.008|-|0.0|0.088|0.959|1.0|Слабый|2331
2.088|3.08664|2873.098|142.63982564603975|6862.472|25.499|25.499|499.522|736|-|1.198|Не определено|6.374|-|10.655|0.133|0.959|1.0|Слабый|2332
3.144|4.6299600000000005|8380.711|145.22179592827013|7155.532|60.379|60.379|581.628|736|-|1.387|Не определено|7.397|-|12.093|0.239|0.959|1.0|Ниже среднего|2333
4.161|6.17328|14725.067|162.05130777355063|7822.14|113.798|113.798|635.384|736|-|1.654|1.394603|8.792|-|16.891|0.334|0.959|1.0|Ниже среднего|2334
5.14|7.7166|21637.897|201.51777492378267|8508.803|175.352|175.352|702.473|736|-|2.074|Не определено|10.928|-|24.767|0.49|0.959|1.0|Выше среднего|2335
6.175|9.25992|29797.421|241.6118275664468|8844.283|246.291|246.291|768.289|736|668.676|2.496|Не определено|13.034|1.03|33.735|0.668|0.959|1.0|Выше среднего|2336
7.148|10.80324|38978.093|280.4481959501238|9140.536|332.132|332.132|823.085|736|-|2.954|Не определено|15.286|-|43.549|0.862|0.959|1.0|Сильный|2337
8.206|12.34656|50994.162|323.32569968386844|9322.664|438.086|438.086|920.311|736|-|3.561|Не определено|18.141|-|59.685|1.182|0.959|1.0|Сильный|2338
9.3|13.88988|72781.431|372.84840491824144|9787.134|645.021|645.021|1083.358|736|-|4.478|1.394603|22.197|-|89.234|1.766|0.959|1.0|Сильный|2339
1.138|-|6245.618|146.11379880237936|6691.227|10.259|10.259|637.132|736|-|1.311|Не определено|7.16|-|0.0|0.28|0.96|0.975|Слабый|2340
2.088|3.08664|5341.558|140.92430661766952|6786.772|22.621|22.621|595.763|736|-|1.276|Не определено|6.978|-|23.969|0.25|0.96|0.975|Слабый|2341
3.144|4.6299600000000005|8378.007|145.2202251319433|7088.819|60.344|60.344|601.326|736|-|1.39|1.394603|7.579|-|12.915|0.256|0.96|0.975|Ниже среднего|2342
4.161|6.17328|14722.801|162.04952753771357|7769.528|113.78|113.78|656.758|736|611.629|1.66|Не определено|9.017|1.022|17.923|0.355|0.96|0.975|Ниже среднего|2343
5.14|7.7166|21633.359|201.5132719743125|8485.061|175.264|175.264|726.071|736|-|2.082|Не определено|11.212|-|26.131|0.517|0.96|0.975|Выше среднего|2344
6.175|9.25992|29789.588|241.64387181151335|8817.449|246.218|246.218|795.086|736|-|2.505|1.394603|13.376|-|35.502|0.703|0.96|0.975|Выше среднего|2345
7.148|10.80324|38988.445|280.44798651061353|9127.388|332.237|332.237|847.917|736|-|2.97|Не определено|15.712|-|45.524|0.901|0.96|0.975|Сильный|2346
8.206|12.34656|50994.902|323.3206731356228|9312.39|438.093|438.093|945.375|736|-|3.583|Не определено|18.666|-|62.05|1.228|0.96|0.975|Сильный|2347
9.3|13.88988|72761.198|372.8428547712201|9766.611|645.053|645.053|1104.095|736|-|4.51|Не определено|22.877|-|91.767|1.817|0.96|0.975|Сильный|2348
1.138|1.54332|7250.743|142.10805872954214|6669.793|8.034|8.034|674.378|736|579.563|1.329|Не определено|7.288|1.019|15.179|0.335|0.96|0.976|Слабый|2349
2.088|3.08664|5568.08|141.0877741554113|6790.304|22.904|22.904|600.707|736|-|1.283|Не определено|7.012|-|23.442|0.256|0.96|0.976|Слабый|2350
3.144|4.6299600000000005|8378.089|145.2202251319433|7091.384|60.339|60.339|600.499|736|-|1.39|Не определено|7.571|-|12.881|0.255|0.96|0.976|Ниже среднего|2351
4.161|6.17328|14722.883|162.04963225746872|7771.517|113.769|113.769|655.858|736|-|1.659|1.394603|9.008|-|17.88|0.354|0.96|0.976|Ниже среднего|2352
5.14|7.7166|21633.485|201.5133766940676|8485.967|175.278|175.278|725.076|736|642.928|2.081|1.394603|11.2|1.026|26.074|0.516|0.96|0.976|Выше среднего|2353
6.175|9.25992|29789.94|241.6420915756764|8818.482|246.181|246.181|793.954|736|-|2.505|Не определено|13.362|-|35.428|0.701|0.96|0.976|Выше среднего|2354
7.148|10.80324|38987.873|280.4480912303687|9127.891|332.278|332.278|846.872|736|696.588|2.97|Не определено|15.694|1.035|45.441|0.9|0.96|0.976|Сильный|2355
8.206|12.34656|50995.53|323.323500569011|9312.771|438.103|438.103|944.323|736|738.368|3.583|1.394603|18.644|1.041|61.952|1.226|0.96|0.976|Сильный|2356
9.3|13.88988|72762.129|372.8434830897508|9767.441|644.763|644.763|1103.19|736|-|4.509|1.394603|22.849|-|91.66|1.814|0.96|0.976|Сильный|2357
1.138|-|5886.518|138.7835206637583|6651.014|6.254|6.254|645.308|736|-|1.282|Не определено|7.026|-|29.803|0.309|0.96|0.977|Слабый|2358
2.088|3.08664|5329.711|140.92137446452617|6791.855|22.612|22.612|593.725|736|572.521|1.276|Не определено|6.959|1.019|23.598|0.248|0.96|0.977|Слабый|2359
3.144|4.6299600000000005|8378.156|145.2203298516984|7093.949|60.346|60.346|599.675|736|-|1.39|1.394603|7.564|-|12.847|0.254|0.96|0.977|Ниже среднего|2360
4.161|6.17328|14723.0|162.04963225746872|7773.511|113.777|113.777|654.961|736|-|1.659|1.394603|8.998|-|17.838|0.353|0.96|0.977|Ниже среднего|2361
5.14|7.7166|21633.642|201.51358613357783|8486.875|175.277|175.277|724.084|736|-|2.081|Не определено|11.189|-|26.017|0.515|0.96|0.977|Выше среднего|2362
6.175|9.25992|29790.282|241.6404160595945|8819.514|246.182|246.182|792.824|736|-|2.505|Не определено|13.348|-|35.354|0.7|0.96|0.977|Выше среднего|2363
7.148|10.80324|38987.186|280.447462911838|9128.401|332.205|332.205|845.821|736|-|2.969|Не определено|15.677|-|45.359|0.898|0.96|0.977|Сильный|2364
8.206|12.34656|50995.977|323.3261185628889|9313.149|438.124|438.124|943.274|736|738.2|3.582|Не определено|18.623|1.041|61.855|1.225|0.96|0.977|Сильный|2365
9.3|13.88988|72762.827|372.8437972490162|9768.261|645.032|645.032|1102.285|736|-|4.508|Не определено|22.821|-|91.553|1.812|0.96|0.977|Сильный|2366
1.138|-|3445.962|137.37765795127686|6642.573|5.514|5.514|580.426|736|-|1.205|Не определено|6.589|-|32.972|0.235|0.96|0.978|Слабый|2367
2.088|3.08664|4921.223|140.78502934336035|6793.495|22.367|22.367|582.024|736|570.893|1.263|1.394603|6.885|1.019|23.974|0.234|0.96|0.978|Слабый|2368
3.144|4.6299600000000005|8378.264|145.22043457145355|7096.518|60.343|60.343|598.852|736|-|1.39|Не определено|7.556|-|12.813|0.254|0.96|0.978|Ниже среднего|2369
4.161|6.17328|14722.961|162.04973697722383|7775.494|113.783|113.783|654.066|736|-|1.659|Не определено|8.989|-|17.795|0.352|0.96|0.978|Ниже среднего|2370
5.14|7.7166|21633.599|201.5137955730881|8487.777|175.272|175.272|723.093|736|642.56|2.081|Не определено|11.177|1.026|25.961|0.514|0.96|0.978|Выше среднего|2371
6.175|9.25992|29790.672|241.63905470277788|8820.548|246.232|246.232|791.698|736|-|2.504|Не определено|13.334|-|35.281|0.699|0.96|0.978|Выше среднего|2372
7.148|10.80324|38986.555|280.44714875257256|9128.912|332.182|332.182|844.774|736|-|2.968|Не определено|15.66|-|45.277|0.896|0.96|0.978|Сильный|2373
8.206|12.34656|50996.359|323.32810823823627|9313.524|437.984|437.984|942.228|736|-|3.581|Не определено|18.602|-|61.757|1.223|0.96|0.978|Сильный|2374
9.3|13.88988|72763.569|372.8443208477918|9769.078|644.718|644.718|1101.384|736|-|4.506|Не определено|22.794|-|91.446|1.81|0.96|0.978|Сильный|2375
1.138|1.54332|1272.954|138.05666084347274|6646.438|5.841|5.841|508.971|736|-|1.132|Не определено|6.147|-|26.427|0.15|0.96|0.979|Слабый|2376
2.088|3.08664|4747.139|140.74670191298657|6795.83|22.305|22.305|576.54|736|-|1.257|Не определено|6.846|-|23.959|0.228|0.96|0.979|Слабый|2377
3.144|4.6299600000000005|8378.408|145.22043457145355|7099.089|60.338|60.338|598.031|736|-|1.39|Не определено|7.549|-|12.779|0.253|0.96|0.979|Ниже среднего|2378
4.161|-|14723.207|162.04984169697894|7777.502|113.776|113.776|653.174|736|-|1.659|Не определено|8.98|-|17.752|0.351|0.96|0.979|Ниже среднего|2379
5.14|-|21634.046|201.5137955730881|8488.694|175.26|175.26|722.107|736|-|2.08|Не определено|11.166|-|25.904|0.513|0.96|0.979|Выше среднего|2380
6.175|9.25992|29790.956|241.63716974718577|8821.578|246.214|246.214|790.575|736|-|2.504|1.394603|13.32|-|35.208|0.697|0.96|0.979|Выше среднего|2381
7.148|10.80324|38986.136|280.44714875257256|9129.424|332.145|332.145|843.73|736|696.069|2.968|Не определено|15.643|1.035|45.195|0.895|0.96|0.979|Сильный|2382
8.206|12.34656|50996.632|323.32978375431816|9313.897|438.028|438.028|941.184|736|737.867|3.58|Не определено|18.58|1.041|61.66|1.221|0.96|0.979|Сильный|2383
9.3|13.88988|72764.62|372.844530287302|9769.895|644.754|644.754|1100.487|736|-|4.505|Не определено|22.766|-|91.34|1.808|0.96|0.979|Сильный|2384
1.138|1.54332|357.487|140.03848220911232|6659.793|6.86|6.86|466.12|736|548.337|1.098|Не определено|5.938|1.019|13.783|0.092|0.96|0.98|Слабый|2385
2.088|3.08664|4891.507|140.78764733723835|6798.581|22.372|22.372|579.605|736|-|1.262|Не определено|6.867|-|23.885|0.232|0.96|0.98|Слабый|2386
3.144|-|8378.507|145.22053929120867|7101.659|60.346|60.346|597.212|736|-|1.389|1.394603|7.542|-|12.745|0.252|0.96|0.98|Ниже среднего|2387
4.161|-|14723.134|162.04984169697894|7779.486|113.784|113.784|652.282|736|-|1.659|1.394603|8.971|-|17.709|0.351|0.96|0.98|Ниже среднего|2388
5.14|7.7166|21634.028|201.51410973235343|8489.597|175.268|175.268|721.122|736|-|2.08|Не определено|11.154|-|25.848|0.512|0.96|0.98|Выше среднего|2389
6.175|9.25992|29791.271|241.6352847915936|8822.608|246.244|246.244|789.455|736|-|2.504|Не определено|13.306|-|35.135|0.696|0.96|0.98|Выше среднего|2390
7.148|10.80324|38985.771|280.44725347232776|9129.933|332.138|332.138|842.687|736|-|2.967|Не определено|15.626|-|45.113|0.893|0.96|0.98|Сильный|2391
8.206|12.34656|50996.807|323.3312498308898|9314.267|438.089|438.089|940.144|736|-|3.579|Не определено|18.559|-|61.563|1.219|0.96|0.98|Сильный|2392
9.3|13.88988|72765.359|372.8448444465674|9770.703|644.785|644.785|1099.591|736|784.678|4.504|Не определено|22.739|1.049|91.233|1.806|0.96|0.98|Сильный|2393
1.138|1.54332|660.224|143.00885806308145|6681.371|8.45|8.45|464.574|736|-|1.112|1.394603|6.003|-|0.0|0.081|0.96|0.981|Слабый|2394
2.088|3.08664|4567.255|140.74523583641488|6800.85|22.287|22.287|569.917|736|-|1.251|Не определено|6.802|-|23.787|0.22|0.96|0.981|Слабый|2395
3.144|-|8378.58|145.22053929120867|7104.228|60.348|60.348|596.394|736|584.473|1.389|Не определено|7.534|1.02|12.711|0.252|0.96|0.981|Ниже среднего|2396
4.161|6.17328|14723.343|162.04994641673406|7781.495|113.781|113.781|651.395|736|-|1.658|1.394603|8.962|-|17.667|0.35|0.96|0.981|Ниже среднего|2397
5.14|7.7166|21634.237|201.5143191718637|8490.508|175.278|175.278|720.14|736|-|2.08|Не определено|11.143|-|25.792|0.511|0.96|0.981|Выше среднего|2398
6.175|9.25992|29791.573|241.63360927551167|8823.639|246.277|246.277|788.339|736|-|2.503|Не определено|13.292|-|35.062|0.694|0.96|0.981|Выше среднего|2399
7.148|10.80324|38985.356|280.44725347232776|9130.442|332.148|332.148|841.647|736|-|2.967|1.394603|15.608|-|45.031|0.892|0.96|0.981|Сильный|2400
8.206|12.34656|50996.932|323.332297028441|9314.636|438.119|438.119|939.106|736|-|3.578|Не определено|18.538|-|61.466|1.217|0.96|0.981|Сильный|2401
9.3|13.88988|72766.351|372.84494916632246|9771.51|644.744|644.744|1098.699|736|-|4.503|Не определено|22.712|-|91.128|1.804|0.96|0.981|Сильный|2402
1.138|1.54332|998.606|144.3887502762932|6693.043|9.217|9.217|474.034|736|551.987|1.127|Не определено|6.082|1.019|0.0|0.091|0.96|0.982|Слабый|2403
2.088|-|4264.523|140.7736148900523|6803.482|22.338|22.338|560.42|736|-|1.242|1.394603|6.739|-|23.231|0.209|0.96|0.982|Слабый|2404
3.144|4.6299600000000005|8378.697|145.2206440109638|7106.799|60.348|60.348|595.579|736|-|1.389|Не определено|7.527|-|12.677|0.251|0.96|0.982|Ниже среднего|2405
4.161|6.17328|14723.442|162.04994641673406|7783.496|113.79|113.79|650.509|736|-|1.658|Не определено|8.953|-|17.624|0.349|0.96|0.982|Ниже среднего|2406
5.14|7.7166|21634.05|201.51452861137392|8491.407|175.311|175.311|719.158|736|-|2.08|Не определено|11.131|-|25.735|0.509|0.96|0.982|Выше среднего|2407
6.175|9.25992|29791.927|241.63224791869516|8824.672|246.204|246.204|787.227|736|672.348|2.503|Не определено|13.279|1.03|34.989|0.693|0.96|0.982|Выше среднего|2408
7.148|10.80324|38984.92|280.44735819208285|9130.949|332.12|332.12|840.61|736|-|2.966|Не определено|15.591|-|44.95|0.89|0.96|0.982|Сильный|2409
8.206|12.34656|50997.04|323.33261118770645|9315.003|438.039|438.039|938.071|736|-|3.577|1.394603|18.516|-|61.369|1.215|0.96|0.982|Сильный|2410
9.3|13.88988|72767.628|372.8446350070572|9772.315|644.89|644.89|1097.81|736|-|4.502|Не определено|22.684|-|91.023|1.802|0.96|0.982|Сильный|2411
1.138|1.54332|1522.307|146.046987598613|6706.637|10.153|10.153|489.028|736|-|1.15|Не определено|6.2|-|0.0|0.109|0.96|0.983|Слабый|2412
2.088|3.08664|4282.797|140.7767564827059|6806.029|22.333|22.333|560.182|736|-|1.242|Не определено|6.737|-|23.125|0.209|0.96|0.983|Слабый|2413
3.144|4.6299600000000005|8378.805|145.2206440109638|7109.371|60.344|60.344|594.765|736|-|1.389|Не определено|7.52|-|12.643|0.25|0.96|0.983|Ниже среднего|2414
4.161|6.17328|14723.428|162.0500511364892|7785.49|113.79|113.79|649.624|736|-|1.658|1.394603|8.944|-|17.582|0.348|0.96|0.983|Ниже среднего|2415
5.14|7.7166|21634.825|201.51452861137392|8492.334|175.317|175.317|718.185|736|-|2.079|Не определено|11.12|-|25.68|0.508|0.96|0.983|Выше среднего|2416
6.175|9.25992|29792.319|241.6312007211439|8825.708|246.288|246.288|786.117|736|-|2.503|Не определено|13.265|-|34.917|0.691|0.96|0.983|Выше среднего|2417
7.148|10.80324|38984.535|280.44725347232776|9131.457|332.121|332.121|839.575|736|-|2.965|1.394603|15.574|-|44.868|0.888|0.96|0.983|Сильный|2418
8.206|12.34656|50997.001|323.333134786482|9315.367|438.026|438.026|937.038|736|737.206|3.576|Не определено|18.495|1.041|61.272|1.213|0.96|0.983|Сильный|2419
9.3|13.88988|72767.445|372.8463105231391|9773.1|644.874|644.874|1096.918|736|-|4.5|1.394603|22.657|-|90.916|1.8|0.96|0.983|Сильный|2420
1.138|1.54332|2185.544|147.41902583019083|6718.516|10.947|10.947|508.535|736|558.518|1.177|Не определено|6.347|1.019|0.0|0.131|0.96|0.984|Слабый|2421
2.088|3.08664|4259.51|140.775080966624|6808.595|22.33|22.33|558.724|736|-|1.241|Не определено|6.726|-|23.05|0.207|0.96|0.984|Слабый|2422
3.144|4.6299600000000005|8378.903|145.2207487307189|7111.944|60.352|60.352|593.952|736|-|1.389|Не определено|7.512|-|12.61|0.25|0.96|0.984|Ниже среднего|2423
4.161|6.17328|14723.346|162.0501558562443|7787.481|113.778|113.778|648.742|736|-|1.658|Не определено|8.935|-|17.539|0.347|0.96|0.984|Ниже среднего|2424
5.14|7.7166|21634.829|201.51473805088415|8493.239|175.302|175.302|717.209|736|-|2.079|Не определено|11.109|-|25.624|0.507|0.96|0.984|Выше среднего|2425
6.175|-|29792.52|241.6291063260415|8826.733|246.294|246.294|785.011|736|-|2.502|Не определено|13.251|-|34.844|0.69|0.96|0.984|Выше среднего|2426
7.148|10.80324|38984.098|280.44735819208285|9131.964|332.216|332.216|838.543|736|695.211|2.965|Не определено|15.557|1.035|44.787|0.887|0.96|0.984|Сильный|2427
8.206|12.34656|50996.889|323.33292534697176|9315.729|437.98|437.98|936.008|736|737.042|3.576|Не определено|18.474|1.041|61.176|1.211|0.96|0.984|Сильный|2428
9.3|13.88988|72769.739|372.84494916632246|9773.909|644.807|644.807|1096.039|736|-|4.499|Не определено|22.63|-|90.812|1.798|0.96|0.984|Сильный|2429
1.138|1.54332|2657.073|148.04943875601114|6725.424|11.318|11.318|522.234|736|560.769|1.196|Не определено|6.441|1.019|0.0|0.147|0.96|0.985|Слабый|2430
2.088|-|3931.549|140.84754703716678|6811.491|22.454|22.454|548.207|736|-|1.231|Не определено|6.659|-|22.2|0.195|0.96|0.985|Слабый|2431
3.144|4.6299600000000005|8379.0|145.220853450474|7114.516|60.358|60.358|593.141|736|-|1.389|1.394603|7.505|-|12.576|0.249|0.96|0.985|Ниже среднего|2432
4.161|6.17328|14723.577|162.0502605759994|7789.498|113.777|113.777|647.863|736|610.007|1.657|Не определено|8.926|1.022|17.497|0.346|0.96|0.985|Ниже среднего|2433
5.14|7.7166|21635.108|201.5148427706393|8494.153|175.319|175.319|716.238|736|-|2.079|Не определено|11.097|-|25.568|0.506|0.96|0.985|Выше среднего|2434
6.175|9.25992|29792.855|241.62774496922492|8827.765|246.298|246.298|783.908|736|-|2.502|1.394603|13.238|-|34.772|0.688|0.96|0.985|Выше среднего|2435
7.148|-|38983.694|280.447462911838|9132.471|332.107|332.107|837.514|736|-|2.964|Не определено|15.54|-|44.706|0.885|0.96|0.985|Сильный|2436
8.206|12.34656|50996.815|323.33261118770645|9316.091|438.025|438.025|934.982|736|-|3.575|Не определено|18.453|-|61.08|1.209|0.96|0.985|Сильный|2437
9.3|13.88988|72770.039|372.84599636387367|9774.691|645.072|645.072|1095.154|736|-|4.498|Не определено|22.603|-|90.707|1.796|0.96|0.985|Сильный|2438
